#OTU ID	Bn27	Bn28	Bn31	Bn32	Bn35	Bn36	Bn63	Bn64	Bn67	Bn68	Bn71	Bn72
OTU476	2	2	1	1	0	0	4	4	1	2	0	0
OTU1729	1	1	0	1	2	1	0	2	2	1	4	1
OTU1266	0	0	0	0	0	0	0	0	3	0	0	0
OTU835	2	2	0	3	0	0	2	1	2	4	1	1
OTU1269	2	0	0	0	0	0	2	0	0	2	0	0
OTU186	8	4	11	3	3	6	5	5	7	1	13	5
OTU233	17	18	6	10	0	7	16	11	7	16	4	4
OTU842	0	0	0	0	1	2	0	0	2	1	1	0
OTU158	5	4	4	14	3	19	0	1	1	4	13	6
OTU117	3	4	0	7	1	3	1	1	3	0	2	0
OTU119	0	6	2	0	0	1	1	1	5	4	0	0
OTU1682	0	0	0	1	0	3	0	0	0	0	0	0
OTU548	1	1	0	1	1	0	0	1	0	1	6	1
OTU790	3	1	2	0	1	0	0	0	0	0	2	4
OTU1935	5	6	3	3	1	6	2	1	8	5	0	7
OTU176	2	2	3	0	0	0	2	1	3	2	1	3
OTU567	1	3	1	0	1	0	3	1	0	0	0	2
OTU1946	0	0	0	0	0	0	0	0	1	0	1	0
OTU1379	1	2	2	0	0	0	0	0	0	0	0	0
OTU728	0	3	2	1	1	0	0	1	0	0	1	0
OTU293	9	11	5	6	1	4	8	4	3	16	2	1
OTU719	4	2	0	2	0	0	3	1	0	1	1	0
OTU113	0	0	1	0	3	0	3	0	2	0	0	2
OTU767	2	0	0	1	0	0	1	1	0	0	0	0
OTU443	2	1	0	3	0	1	0	1	2	2	0	0
OTU1924	1	3	2	10	0	2	0	6	2	1	0	0
OTU1285	2	0	0	0	0	0	0	1	3	0	1	5
OTU311	5	3	2	3	3	4	3	1	4	5	5	8
OTU2185	1	1	0	1	1	0	0	1	0	1	0	0
OTU732	3	3	0	2	0	0	3	1	8	6	1	0
OTU606	3	3	1	5	1	8	2	2	2	4	7	7
OTU1761	0	0	1	0	0	1	0	2	0	1	0	0
OTU430	3	2	2	4	1	0	4	2	5	2	1	0
OTU493	0	2	0	3	0	0	4	1	7	3	0	0
OTU2105	2	3	0	1	0	0	1	1	0	3	0	0
OTU1084	2	1	0	1	0	0	1	2	0	1	0	0
OTU1011	4	0	1	1	0	0	2	1	0	0	0	0
OTU1366	1	2	2	1	1	4	1	1	0	4	1	1
OTU575	0	0	6	3	0	1	4	0	0	0	1	3
OTU952	0	0	0	0	0	0	0	1	0	0	0	0
OTU1217	0	0	0	0	0	0	0	0	0	0	2	2
OTU1796	1	0	0	2	2	0	2	0	7	0	5	0
OTU1353	1	0	0	0	1	6	0	0	0	0	9	4
OTU375	1	0	1	5	2	13	0	5	0	0	25	30
OTU1188	1	0	0	1	0	0	3	1	0	0	0	0
OTU1931	0	0	0	0	1	0	0	0	0	0	0	0
OTU984	1	2	3	0	0	0	1	2	0	3	0	0
OTU107	32	16	18	22	26	40	21	25	32	25	38	46
OTU267	4	3	3	1	0	1	5	6	5	5	8	1
OTU1929	0	3	0	3	0	1	4	2	0	1	4	6
OTU527	0	0	0	0	0	0	0	0	2	0	1	0
OTU71	17	25	16	21	7	16	19	20	35	15	23	23
OTU51	2	3	5	2	10	0	4	7	29	1	2	2
OTU1776	0	0	0	3	0	0	0	0	0	0	0	0
OTU121	2	0	0	0	4	0	0	0	0	2	0	1
OTU1584	0	0	0	0	0	0	0	0	2	0	0	0
OTU1186	1	0	0	0	0	0	1	0	0	2	5	4
OTU747	0	0	1	1	0	1	1	0	0	0	0	0
OTU1653	0	2	0	0	0	0	0	0	1	0	0	0
OTU378	0	0	0	0	0	0	1	0	0	0	0	0
OTU976	0	0	0	0	0	7	0	0	0	0	0	0
OTU102	9	2	1	9	7	18	7	11	10	2	26	23
OTU306	2	4	0	2	2	2	3	0	3	0	2	3
OTU383	2	9	1	12	0	4	10	3	7	4	2	4
OTU676	0	1	0	0	1	1	0	0	0	0	0	0
OTU338	5	4	1	1	7	4	5	10	4	8	15	9
OTU1243	0	0	0	0	0	0	2	0	0	0	0	7
OTU178	7	8	3	12	3	16	9	9	7	14	15	15
OTU312	6	4	1	9	4	5	5	7	18	3	12	10
OTU23	81	82	36	91	18	72	61	81	59	86	55	61
OTU1370	0	1	0	0	2	0	0	0	0	0	12	12
OTU120	1	6	5	7	4	18	1	0	0	1	15	14
OTU1010	0	3	2	5	0	1	0	1	0	4	1	0
OTU1221	0	2	1	0	0	4	1	1	0	4	0	3
OTU593	2	3	1	5	0	0	6	3	0	3	0	0
OTU172	2	5	2	5	5	8	6	7	9	6	3	4
OTU740	0	1	0	0	1	0	0	2	0	3	0	4
OTU227	23	29	15	25	11	49	28	31	16	8	34	46
OTU701	0	3	0	0	2	1	0	1	1	1	11	18
OTU35	74	78	39	79	12	38	63	90	65	88	32	36
OTU726	1	3	6	1	3	1	2	4	3	5	1	3
OTU1196	0	0	3	0	0	0	0	0	0	0	0	0
OTU1232	0	3	1	1	0	0	2	0	0	1	2	1
OTU240	15	17	9	10	3	6	14	4	2	9	0	12
OTU162	2	0	2	0	2	1	0	0	0	1	2	1
OTU16	144	167	118	143	74	119	139	118	98	188	119	88
OTU1522	0	0	2	0	2	0	2	1	4	2	0	1
OTU244	5	5	8	2	6	9	3	0	4	2	7	17
