#OTU ID	Bn25	Bn26	Bn29	Bn30	Bn33	Bn34	Bn61	Bn62	Bn65	Bn66	Bn69	Bn70
OTU425	0	3	0	2	0	5	0	9	0	8	0	93
OTU237	0	0	0	3	0	5	0	15	1	21	0	10
OTU229	0	6	0	11	0	6	0	96	0	147	0	13
OTU384	0	0	0	0	0	0	0	0	0	3	0	0
OTU1685	0	3	0	6	0	3	0	6	0	4	0	7
OTU1246	0	0	0	0	0	0	0	4	0	0	0	0
OTU159	0	4	0	7	2	15	0	82	0	50	0	147
OTU1991	0	3	0	0	0	1	0	17	0	19	0	5
OTU773	0	3	0	0	0	2	0	27	0	13	0	6
OTU589	0	0	0	0	0	0	0	1	0	0	0	0
OTU204	0	1	0	0	0	4	0	3	0	2	0	3
OTU559	0	0	0	0	0	1	0	2	0	1	0	3
OTU362	0	0	0	0	21	0	0	0	0	0	0	0
OTU1754	0	0	0	0	1	0	0	0	0	0	3	0
OTU1120	0	0	0	0	0	0	0	4	0	2	0	0
OTU2131	0	2	0	2	0	2	0	0	0	0	0	0
OTU2098	0	0	0	0	0	0	0	1	0	0	0	0
OTU782	0	0	0	0	0	0	0	2	0	0	0	0
OTU1514	0	2	0	1	0	0	0	0	0	0	0	0
OTU1104	0	2	0	2	0	2	0	1	0	6	0	7
OTU500	0	12	0	20	0	16	0	55	1	39	0	22
OTU133	0	1	0	7	0	3	0	27	0	11	0	1
OTU687	0	0	0	1	0	0	0	5	0	2	0	0
OTU187	0	4	0	0	0	7	0	19	0	19	0	10
OTU301	0	4	0	1	0	5	0	38	0	18	0	21
OTU826	0	1	0	3	0	0	0	0	0	1	0	0
OTU205	1	2	0	2	0	9	0	19	0	24	0	12
OTU68	6	35	1	23	0	39	0	81	1	95	2	67
OTU753	0	0	0	1	0	0	0	0	0	0	0	3
OTU390	35	3	8	3	22	2	16	6	8	21	3	4
OTU21	196	60	108	69	149	61	105	4	128	11	55	6
OTU651	2	0	0	5	0	0	0	2	0	2	0	3
OTU634	0	2	0	1	0	1	0	3	0	3	0	0
OTU946	0	5	0	2	0	0	0	7	0	8	0	1
OTU1787	0	0	0	0	0	0	0	0	0	6	0	0
OTU105	0	1	0	0	0	4	0	33	5	35	0	16
OTU140	0	3	0	4	0	0	0	8	0	18	0	0
OTU122	0	1	0	0	0	0	0	0	0	0	0	0
OTU1296	0	0	0	0	0	1	0	0	0	0	0	0
OTU1729	0	0	0	0	0	0	0	0	0	1	0	0
OTU1266	0	0	0	0	0	0	0	2	0	0	0	0
OTU835	0	0	0	0	0	2	0	3	0	0	0	0
OTU1998	0	0	0	0	0	0	0	0	0	0	0	2
OTU186	0	0	0	0	0	0	0	1	0	5	0	2
OTU233	0	1	0	2	0	5	0	7	0	4	0	6
OTU158	0	0	0	0	0	2	0	1	0	1	0	0
OTU117	0	21	0	32	0	28	0	66	0	87	0	112
OTU119	0	24	0	21	0	19	0	83	0	93	0	13
OTU548	0	1	0	0	0	1	0	0	0	0	0	5
OTU1935	0	1	0	0	0	0	2	5	1	1	0	0
OTU176	0	0	2	0	22	0	6	6	7	2	4	0
OTU567	0	0	0	0	0	0	0	4	0	0	0	0
OTU293	0	0	0	0	0	0	0	1	0	0	0	0
OTU113	11	0	54	1	33	1	21	0	9	0	35	0
OTU311	0	0	0	0	0	0	0	1	0	2	0	0
OTU2185	0	1	0	0	0	1	0	3	0	0	0	0
OTU575	0	6	0	2	0	8	0	6	0	5	0	2
OTU375	0	0	0	0	0	0	0	0	0	1	0	0
OTU984	0	0	0	0	0	0	0	1	0	0	0	0
OTU107	0	1	0	0	0	0	0	1	0	4	0	1
OTU267	0	0	0	0	0	2	0	0	0	2	0	0
OTU1929	0	4	3	4	8	0	6	4	0	8	0	52
OTU527	5	0	28	0	2	1	17	2	18	0	32	1
OTU71	0	29	1	32	0	32	0	132	1	189	0	79
OTU1857	3	0	0	0	0	0	0	0	6	0	0	2
OTU2096	0	0	0	0	0	0	0	0	0	0	0	2
OTU51	53	8	66	12	56	19	53	29	45	67	37	36
OTU121	3	1	50	7	3	3	0	2	1	0	1	0
OTU747	0	2	0	0	0	1	0	2	0	0	0	0
OTU378	0	2	0	0	0	0	0	14	0	18	0	0
OTU976	0	0	0	0	0	0	0	0	0	0	0	2
OTU102	0	5	0	7	0	6	0	17	0	33	0	66
OTU306	0	0	0	0	0	0	0	0	1	0	0	0
OTU383	0	2	0	0	0	0	0	3	0	5	0	1
OTU676	0	2	0	1	0	1	0	1	0	10	0	30
OTU338	0	1	0	5	0	1	0	9	0	25	0	10
OTU178	0	0	0	0	0	0	0	0	0	0	0	2
OTU23	0	1	3	5	0	0	0	16	0	18	1	0
OTU1370	0	0	0	0	0	0	0	0	0	0	0	2
OTU1221	0	0	0	0	0	0	0	0	0	1	0	0
OTU593	0	0	0	0	0	0	0	1	0	1	0	0
OTU172	0	0	0	0	0	0	0	1	0	5	0	0
OTU227	0	2	0	8	1	1	0	14	0	25	0	9
OTU35	0	1	2	0	1	3	2	8	0	7	1	0
OTU726	0	0	0	0	0	1	0	0	0	0	0	0
OTU1196	0	2	0	1	0	2	0	4	0	1	0	1
OTU1232	0	0	0	0	0	1	0	4	0	2	0	0
OTU240	0	0	0	0	0	0	0	3	0	2	0	2
OTU162	16	5	0	3	4	15	1	19	9	16	4	14
OTU16	1	65	0	83	0	72	0	366	0	454	0	119
OTU1522	19	0	28	1	38	0	113	2	120	7	42	4
OTU244	6	19	2	17	6	14	4	8	1	8	8	32
OTU1892	2	0	1	0	3	0	7	3	9	3	6	1
OTU1691	0	0	0	0	3	0	2	0	13	2	1	0
OTU1332	2	0	0	0	2	0	6	6	6	0	3	2
OTU67	0	0	0	1	0	0	0	1	0	0	0	0
OTU714	0	0	0	1	0	0	0	1	0	0	0	0
OTU1456	0	2	0	0	0	0	0	0	0	1	0	0
OTU142	0	1	0	0	0	0	0	0	0	1	0	6
OTU1027	1	0	0	0	2	0	2	0	1	4	0	5
OTU285	0	0	0	0	0	0	0	0	0	8	0	2
OTU964	0	1	0	0	0	1	3	3	0	6	0	0
OTU24	130	53	67	64	31	53	247	58	96	52	107	68
OTU277	0	2	0	6	0	6	0	38	0	24	0	1
OTU429	0	1	0	1	0	0	0	0	0	3	0	4
OTU179	0	0	0	1	0	0	0	0	0	6	0	0
OTU821	0	0	0	0	0	1	0	1	0	3	0	2
OTU145	0	16	0	14	0	13	0	47	0	62	0	108
OTU669	0	0	0	0	0	0	0	1	0	2	0	0
OTU231	0	0	0	0	0	0	0	1	0	0	0	0
OTU2015	0	0	0	0	0	0	0	3	0	0	0	0
OTU268	0	0	0	0	0	2	0	10	0	1	0	0
OTU100	0	15	0	4	1	12	0	43	0	73	0	61
OTU12	198	57	519	38	32	37	2	12	3	4	47	2
OTU4	1169	180	554	212	608	210	568	242	769	117	724	306
OTU1075	4	1	1	0	1	0	0	0	1	0	0	0
OTU1038	0	17	0	6	0	18	0	17	3	0	1	2
OTU37	76	146	46	121	52	84	33	59	23	97	21	48
OTU251	2	0	2	0	4	3	18	10	14	17	7	4
OTU1184	12	1	34	2	60	2	147	0	127	1	111	0
OTU1814	0	0	0	0	1	0	0	0	1	0	0	0
OTU1425	2	0	17	1	88	2	24	2	23	3	9	1
OTU17	20	2	28	3	629	1	94	5	52	7	57	0
OTU149	0	6	0	9	0	9	0	35	0	59	0	18
OTU1341	0	0	0	0	0	0	0	0	0	2	3	1
OTU1972	0	0	0	0	0	0	0	0	0	0	2	0
OTU31	55	64	36	71	101	50	183	146	95	205	91	122
OTU2046	0	0	1	0	0	0	0	1	0	3	0	0
OTU1615	14	1	57	0	81	0	182	2	136	12	145	4
OTU3	204	22	325	17	935	15	1405	28	1947	45	1693	29
OTU1545	0	0	2	3	19	1	3	0	5	12	1	22
OTU419	0	0	0	0	0	0	0	1	0	3	0	3
OTU428	0	1	0	0	0	0	0	0	0	0	0	0
OTU77	2	1	5	4	87	4	44	1	26	6	16	5
OTU1141	3	0	1	0	2	0	2	1	1	0	0	2
OTU439	0	1	0	1	0	3	0	1	0	1	0	0
OTU571	0	1	0	0	2	2	1	3	0	3	1	0
OTU1890	0	2	0	0	0	3	0	1	0	0	0	0
OTU34	0	21	1	7	0	18	0	33	1	77	2	13
OTU220	0	7	0	6	5	12	6	35	7	50	0	19
OTU57	11	7	19	4	104	7	61	11	40	10	58	13
OTU628	0	1	0	0	0	0	0	0	0	3	0	43
OTU2032	0	0	0	1	0	2	0	6	0	3	0	0
OTU58	16	26	0	19	1	22	0	1	3	14	1	16
OTU128	13	0	0	0	24	0	12	0	13	2	7	0
OTU48	1	8	0	12	0	10	0	45	0	42	0	5
OTU222	0	3	0	5	0	3	0	7	0	10	0	3
OTU1607	0	0	0	0	0	0	0	0	0	0	0	1
OTU103	8	7	5	1	6	6	3	3	5	16	19	2
OTU1550	0	0	0	0	0	0	0	0	0	3	0	0
OTU1966	0	3	0	1	0	0	0	3	0	0	0	2
OTU1764	0	0	0	1	0	1	0	0	0	0	0	0
OTU831	0	0	0	1	0	0	0	0	0	0	0	36
OTU1581	0	1	0	1	0	0	0	0	0	0	0	0
OTU2074	0	0	0	0	0	0	0	0	0	1	0	0
OTU2240	0	0	0	0	0	0	0	0	0	2	0	0
OTU395	0	0	0	0	12	0	0	0	0	0	0	0
OTU1003	0	1	0	0	0	0	0	1	0	6	0	0
OTU596	0	0	0	0	0	0	0	1	0	0	0	0
OTU1626	0	0	0	0	0	0	0	1	0	0	0	0
OTU1132	0	0	0	0	0	0	0	1	0	0	0	0
OTU1346	0	0	0	0	0	1	0	0	0	0	0	0
OTU920	1	0	0	0	1	0	1	0	0	0	2	0
OTU1408	0	0	0	0	0	0	0	1	0	0	0	0
OTU1669	0	2	0	0	0	1	0	0	0	0	0	2
OTU1865	0	0	0	0	0	0	0	0	0	0	0	2
OTU1015	0	1	0	0	0	0	0	0	0	0	0	0
OTU1900	0	1	0	1	0	0	0	0	0	7	0	13
OTU1976	0	2	0	0	0	0	0	2	0	0	0	0
OTU1702	0	0	0	1	0	1	0	3	0	3	0	4
OTU865	0	0	0	0	0	0	0	0	0	1	0	0
OTU558	0	0	0	3	0	0	0	3	0	2	0	2
OTU823	0	0	0	0	0	0	0	1	0	0	0	0
OTU1546	0	0	0	2	0	0	0	0	0	0	0	0
OTU1830	0	0	0	1	0	0	0	4	0	0	0	0
OTU590	0	0	0	0	0	0	0	17	0	9	0	17
OTU794	0	0	0	1	0	0	0	18	0	15	0	2
OTU1442	0	0	0	0	0	0	0	0	0	3	0	0
OTU453	0	2	0	1	0	0	0	3	0	10	0	17
OTU1338	0	0	0	0	0	1	0	1	0	2	0	1
OTU2095	0	0	0	0	0	0	0	0	0	0	0	8
OTU2162	0	0	0	0	0	0	0	1	0	2	0	0
OTU1440	0	0	0	0	0	0	0	0	0	0	0	1
OTU1530	0	0	0	0	0	0	0	0	0	0	0	1
OTU1006	0	1	0	2	0	1	0	3	0	4	0	23
OTU69	0	14	0	19	0	16	0	256	0	316	0	7
OTU41	0	37	0	46	0	18	0	292	0	159	0	613
OTU1660	0	0	0	0	0	0	0	1	0	0	0	0
OTU1153	0	0	0	3	0	0	0	6	0	0	0	0
OTU611	0	2	0	0	0	1	0	0	0	0	0	1
OTU757	0	0	0	0	0	3	0	0	0	0	0	0
OTU1474	0	0	0	0	0	0	0	1	0	0	0	0
OTU1670	0	0	0	0	0	0	0	1	0	0	0	1
OTU1708	0	0	0	1	0	0	0	0	0	0	0	0
OTU1492	0	0	0	0	0	0	0	3	0	0	0	0
OTU599	0	3	0	0	0	0	0	10	0	11	0	0
OTU1583	0	0	0	0	0	0	0	0	0	1	0	9
OTU762	0	0	0	0	0	0	0	1	0	2	0	1
OTU336	0	5	0	5	0	7	0	22	0	24	0	45
OTU496	0	0	0	3	0	2	0	1	0	5	0	0
OTU1738	0	0	0	0	0	0	0	2	0	0	0	0
OTU1347	0	0	0	0	0	0	0	0	0	2	0	0
OTU2149	0	0	0	1	0	5	0	3	0	5	2	7
OTU1688	0	0	0	0	0	0	0	2	0	0	0	0
OTU1541	0	0	0	0	0	0	0	2	0	0	0	1
OTU780	0	0	0	0	0	0	0	2	0	3	0	0
OTU1479	0	1	0	1	0	1	0	7	0	5	0	1
OTU1684	0	3	0	2	0	2	0	4	0	3	0	1
OTU460	2	2	0	0	6	2	0	0	36	0	0	0
OTU935	0	5	0	0	0	4	0	25	0	9	0	0
OTU1901	0	0	0	0	0	0	0	0	0	2	0	0
OTU2099	0	0	0	1	0	0	0	0	0	0	0	0
OTU2225	0	0	0	0	0	0	0	0	0	0	0	1
OTU1056	0	0	0	0	0	0	0	1	0	0	0	0
OTU1288	0	0	0	0	0	0	0	0	0	5	0	1
OTU820	0	0	0	0	0	0	0	0	0	0	0	4
OTU411	0	0	0	0	0	0	0	0	0	1	0	0
OTU1524	0	0	0	0	0	1	0	0	0	0	0	0
OTU956	0	0	0	0	0	1	0	2	0	3	0	1
OTU2037	0	0	0	0	0	0	0	0	0	0	0	1
OTU2218	0	1	0	0	0	0	0	1	0	2	0	3
OTU1604	0	0	0	0	0	1	0	0	0	0	0	0
OTU907	0	0	0	0	0	0	0	1	0	1	0	0
OTU347	15	0	1	0	0	0	16	0	8	1	10	2
OTU2193	0	0	0	0	0	0	3	0	7	0	6	0
OTU581	2	0	4	0	5	0	3	0	12	0	6	0
OTU46	0	2	2	0	0	0	0	12	0	17	1	7
OTU248	0	0	0	0	0	0	0	1	0	0	0	0
OTU206	0	0	0	0	0	0	0	3	0	0	0	2
